memberID,Date,itemName,quantity,price
2775,06-11-2015,pork,13,5157
3693,18-02-2015,berries,5,3964
1202,22-07-2015,soda,18,7054
3699,23-08-2015,berries,1,3470
4152,15-04-2015,fruit/vegetable juice,21,9353
4155,26-01-2015,citrus fruit,27,4735
4010,29-12-2015,pork,27,5250
4389,20-10-2015,detergent,22,6728
3746,17-08-2015,grapes,21,9968
2560,17-05-2015,sausage,4,3708
1503,25-07-2015,chicken,18,9018
2555,23-12-2015,whole milk,2,4848
3645,12-12-2015,citrus fruit,16,5772
3886,11-09-2015,soda,30,6169
2932,20-03-2015,sausage,7,8574
1711,18-06-2015,frankfurter,25,7385
4291,08-12-2015,sausage,25,7222
1143,25-04-2015,soda,14,5278
4564,08-07-2015,rolls/buns,1,4016
3337,14-05-2015,beef,22,9590
4931,04-05-2015,whole milk,25,2361
2623,10-10-2015,processed cheese,3,4767
4581,03-04-2015,tropical fruit,27,3319
2635,11-06-2015,frankfurter,11,9316
1095,30-10-2015,packaged fruit/vegetables,25,6450
2990,23-05-2015,whole milk,15,2535
2426,05-06-2015,berries,23,8259
4555,07-11-2015,citrus fruit,17,7764
3635,04-09-2015,tropical fruit,25,3815
3058,18-05-2015,hamburger meat,26,2119
4391,26-03-2015,hamburger meat,24,8570
1306,23-06-2015,whole milk,28,9120
1024,10-08-2015,fish,23,6424
1295,23-07-2015,frankfurter,1,3841
1661,01-06-2015,packaged fruit/vegetables,9,2710
4591,15-05-2015,pastry,26,3580
3169,14-06-2015,other vegetables,14,1908
3915,21-05-2015,misc. beverages,22,9073
1127,14-01-2015,frankfurter,14,5606
4828,08-08-2015,sparkling wine,22,3747
3683,10-06-2015,specialty bar,22,3675
1971,18-09-2015,sausage,13,9549
3014,11-11-2015,curd cheese,8,8699
3779,15-09-2015,frankfurter,20,6480
2489,04-05-2015,whole milk,2,4854
3564,27-06-2015,newspapers,7,9481
4092,30-09-2015,berries,16,2037
3221,13-01-2015,curd,17,1948
1279,06-09-2015,tropical fruit,29,8159
2581,22-08-2015,soda,19,9850
2295,25-02-2015,rolls/buns,2,1501
4760,22-02-2015,canned beer,16,7348
3649,16-01-2015,canned beer,23,1778
1075,19-11-2015,frankfurter,9,5216
3987,19-08-2015,other vegetables,17,5582
4106,25-08-2015,whole milk,2,6607
4338,24-06-2015,whole milk,5,9622
4166,06-11-2015,citrus fruit,17,4214
1211,10-03-2015,frankfurter,1,3387
,21-01-2015,frankfurter,24,3251
,18-07-2015,butter milk,25,6682
,30-09-2015,hamburger meat,2,4480
,08-02-2015,pasta,3,7785
,08-06-2015,other vegetables,6,2631
,09-06-2015,sausage,19,1922
,16-03-2015,rolls/buns,3,3246
,25-02-2015,grapes,13,2749
,07-03-2015,root vegetables,29,8702
2288,31-05-2015,coffee,22,5431
2184,30-06-2015,popcorn,13,4591
4554,27-08-2015,whole milk,13,3622
3361,05-03-2015,tropical fruit,30,4244
2999,17-04-2015,beef,4,4607
2614,25-06-2015,whole milk,30,9965
4064,05-06-2015,frankfurter,20,2566
3567,04-10-2015,tropical fruit,15,2075
2587,07-05-2015,canned beer,26,5425
3783,17-06-2015,finished products,7,5524
1923,14-02-2015,beverages,16,7036
4835,19-02-2015,hamburger meat,17,5104
1514,24-08-2015,whole milk,28,6231
3154,22-06-2015,finished products,16,5094
1313,25-12-2015,other vegetables,11,2059
2794,18-07-2015,ham,12,4457
2359,09-04-2015,other vegetables,19,7210
2238,09-03-2015,curd,3,7641
3795,17-01-2015,bottled beer,14,7589
3724,26-11-2015,curd,2,8338
1152,05-03-2015,whole milk,24,2494
4559,16-03-2015,whole milk,5,5603
3922,27-02-2015,dessert,26,6544
1709,22-04-2015,sausage,12,5791
2219,17-04-2015,other vegetables,21,8447
2206,17-10-2015,ham,19,8623
1752,06-04-2015,other vegetables,7,2540
3942,10-11-2015,other vegetables,20,9685
3296,17-08-2015,soda,28,6921
2257,05-02-2015,herbs,24,4340
4313,28-07-2015,frankfurter,28,9588
2001,21-08-2015,rolls/buns,4,7842
2449,08-07-2015,curd,19,8252
4914,12-04-2015,frankfurter,12,8300
2764,24-07-2015,other vegetables,26,2779
4187,09-05-2015,dog food,28,4566
1392,20-04-2015,specialty bar,7,7404
3427,28-04-2015,curd,24,8744
1411,20-02-2015,frankfurter,4,4232
3390,14-11-2015,soda,4,5108
4787,01-08-2015,beef,4,7570
3310,17-01-2015,canned beer,30,6651
1782,10-10-2015,pork,27,6666
3375,26-04-2015,frankfurter,12,7033
2760,07-01-2015,sausage,20,5592
4249,13-09-2015,canned beer,13,7737
2904,06-06-2015,specialty chocolate,8,5629
4090,26-02-2015,curd,17,7453
3060,05-07-2015,canned beer,7,3341
3768,07-10-2015,whole milk,2,7892
1232,21-01-2015,rolls/buns,10,5969
1360,23-10-2015,pork,17,2660
1107,01-10-2015,citrus fruit,18,6193
2865,04-11-2015,pot plants,6,4024
2958,14-06-2015,rolls/buns,9,1603
2448,12-07-2015,butter,11,6315
1222,24-09-2015,condensed milk,6,1878
2943,20-06-2015,sausage,25,3203
2270,11-08-2015,whole milk,16,5205
3812,21-07-2015,sausage,15,6097
1482,22-11-2015,beverages,30,3927
4720,22-02-2015,beverages,27,4658
1344,04-09-2015,bottled water,5,4748
2397,04-10-2015,newspapers,29,9535
4182,12-05-2015,cleaner,28,2463
4487,10-07-2015,sausage,5,8747
3467,24-12-2015,newspapers,6,3808
2443,15-11-2015,sausage,7,5068
2749,27-01-2015,misc. beverages,4,9437
4389,13-04-2015,white wine,19,9341
1674,04-12-2015,sausage,9,7807
4262,16-10-2015,meat,15,8418
2082,07-04-2015,frankfurter,5,6332
4494,06-01-2015,ice cream,17,8282
2460,28-09-2015,canned beer,17,3181
4509,29-11-2015,tropical fruit,11,8311
2267,03-07-2015,meat,16,4652
4891,05-09-2015,whole milk,20,4069
3962,20-09-2015,sausage,11,3200
4964,18-07-2015,frankfurter,28,6294
2914,30-11-2015,meat,25,6302
2808,05-05-2015,root vegetables,24,8775
1085,15-08-2015,root vegetables,30,9331
3808,18-08-2015,whole milk,8,8987
4149,07-01-2015,citrus fruit,15,9171
2331,05-06-2015,citrus fruit,23,3860
4475,03-04-2015,other vegetables,8,8708
2761,25-04-2015,citrus fruit,25,1965
2620,14-12-2015,sausage,8,7962
3206,13-10-2015,frankfurter,6,3070
1226,13-04-2015,hard cheese,30,3863
1395,07-03-2015,cream cheese,16,8782
2465,07-06-2015,turkey,3,7878
3572,09-07-2015,pork,29,3394
4387,08-05-2015,whole milk,23,9398
1555,27-03-2015,rolls/buns,18,2041
1181,16-11-2015,sausage,7,7937
2814,11-05-2015,ice cream,27,9758
2794,16-09-2015,liquor,6,2803
2912,28-01-2015,pip fruit,1,3518
4667,12-01-2015,root vegetables,11,2148
2235,25-10-2015,soda,15,2564
2353,02-05-2015,soda,11,8587
3449,08-03-2015,sausage,10,2306
,10-11-2015,root vegetables,27,9883
,17-05-2015,pork,4,5554
,22-05-2015,pork,23,1767
,30-05-2015,chocolate,12,3219
,15-08-2015,fruit/vegetable juice,18,7078
,18-04-2015,pickled vegetables,28,4039
,30-06-2015,bottled water,27,8659
,10-09-2015,frankfurter,21,7874
,07-11-2015,tropical fruit,6,7987
,08-05-2015,canned beer,28,9600
,31-01-2015,root vegetables,6,7690
,01-07-2015,meat,5,8696
,30-12-2015,frankfurter,24,6353
,22-04-2015,tropical fruit,27,9556
,27-05-2015,tropical fruit,2,8265
,21-09-2015,citrus fruit,17,2516
,27-08-2015,hamburger meat,6,5878
,22-06-2015,chicken,9,3216
,21-01-2015,chicken,1,2395
,26-04-2015,frankfurter,3,4867
4148,09-04-2015,canned beer,7,5950
2970,30-12-2015,turkey,4,9808
2013,30-08-2015,packaged fruit/vegetables,19,2509
3967,30-05-2015,pasta,1,9172
2885,15-05-2015,citrus fruit,13,4955
3935,02-07-2015,sausage,29,8294
3283,01-05-2015,whole milk,4,8464
3268,06-11-2015,canned beer,13,7622
3677,30-04-2015,citrus fruit,5,7022
3495,27-06-2015,liquor (appetizer),7,7400
1410,04-10-2015,citrus fruit,15,8878
2440,06-06-2015,sausage,13,3273
4088,13-01-2015,chicken,19,8814
2469,23-09-2015,hamburger meat,19,3586
4229,06-03-2015,sausage,20,4932
2728,02-08-2015,beef,14,7672
4694,25-01-2015,citrus fruit,3,9415
2836,29-12-2015,UHT-milk,19,3975
1311,12-02-2015,candy,8,7762
1760,23-01-2015,newspapers,3,3653
3656,02-03-2015,beef,20,7513
3720,28-05-2015,sausage,13,6352
2996,26-09-2015,frankfurter,6,3522
1949,22-07-2015,canned beer,21,5480
4498,11-02-2015,bottled beer,29,6427
2447,28-12-2015,onions,4,3742
1952,23-03-2015,tropical fruit,21,3086
4099,27-01-2015,bottled water,8,4906
1804,12-03-2015,beef,2,9613
1510,16-05-2015,sausage,26,2859
2879,18-04-2015,hair spray,22,3193
4899,12-03-2015,chicken,28,1943
4326,29-09-2015,pork,9,9996
1670,17-05-2015,ice cream,7,2757
1117,24-05-2015,meat,9,2650
1346,03-04-2015,other vegetables,6,3729
1178,15-11-2015,bottled water,18,4986
1649,25-06-2015,tropical fruit,4,8442
4651,21-06-2015,photo/film,9,1960
4243,02-04-2015,sausage,11,7169
4429,21-07-2015,grapes,26,3171
4645,25-07-2015,domestic eggs,7,3442
4019,24-07-2015,rolls/buns,5,8936
4459,26-04-2015,tropical fruit,15,8369
3006,27-12-2015,chicken,4,7064
1834,17-09-2015,frankfurter,15,4372
3236,04-07-2015,berries,4,9033
1765,11-03-2015,margarine,1,4273
3855,09-03-2015,tropical fruit,5,7836
4392,28-11-2015,ham,15,2431
3330,26-07-2015,hamburger meat,4,2741
1723,02-09-2015,yogurt,10,7423
4110,30-03-2015,soda,14,2291
2600,28-01-2015,yogurt,7,2496
2946,07-10-2015,soda,29,2442
2426,08-09-2015,bottled water,7,2800
4170,03-05-2015,sausage,26,7241
,06-04-2015,citrus fruit,20,3993
,04-01-2015,shopping bags,24,6142
,04-02-2015,newspapers,19,3910
,20-09-2015,frankfurter,16,2191
,30-05-2015,sausage,7,6149
,04-10-2015,frankfurter,8,8992
,11-01-2015,salt,11,3929
,21-01-2015,oil,12,9102
3939,10-02-2015,curd,27,2860
1367,05-08-2015,other vegetables,11,7397
1043,10-01-2015,citrus fruit,26,1587
2231,17-10-2015,frankfurter,26,4563
3235,28-12-2015,root vegetables,14,3525
4554,16-07-2015,tropical fruit,20,9428
3245,24-01-2015,beef,16,7817
2996,19-05-2015,berries,18,1562
2507,05-01-2015,canned beer,22,9963
4186,25-10-2015,whipped/sour cream,9,8539
3929,28-04-2015,root vegetables,26,2666
3760,22-11-2015,whole milk,1,3959
4928,18-08-2015,beef,19,4299
4217,18-12-2015,frozen vegetables,21,2919
1174,11-02-2015,rolls/buns,4,8507
4103,19-06-2015,whole milk,25,7015
4408,13-03-2015,whole milk,17,9661
2588,28-12-2015,citrus fruit,18,8025
2598,11-11-2015,pastry,25,1687
1518,11-12-2015,frankfurter,14,6733
2702,08-04-2015,tropical fruit,1,4899
1001,20-01-2015,frankfurter,15,6006
2270,30-09-2015,berries,19,8983
2838,10-11-2015,rolls/buns,25,7335
1683,26-05-2015,root vegetables,6,2704
4040,03-04-2015,yogurt,7,4940
3897,23-08-2015,other vegetables,6,4932
2200,11-03-2015,berries,15,8035
4073,29-01-2015,berries,30,7995
3700,19-04-2015,other vegetables,10,9827
3973,10-06-2015,rolls/buns,22,6068
2715,06-07-2015,ham,13,9278
3967,23-11-2015,whole milk,10,2277
4002,03-09-2015,tropical fruit,11,2868
2962,01-03-2015,bottled water,8,4884
4340,25-12-2015,butter milk,22,9304
2092,06-11-2015,newspapers,29,2840
3143,24-05-2015,coffee,27,6575
2209,03-10-2015,bottled beer,21,7487
2816,22-08-2015,onions,1,2350
2659,01-06-2015,hamburger meat,1,5603
1588,13-10-2015,sausage,6,2176
1144,15-10-2015,hard cheese,28,2875
2166,10-12-2015,sausage,7,3886
3300,06-10-2015,hamburger meat,21,2289
3944,03-01-2015,onions,26,2712
4979,24-04-2015,coffee,8,9532
2630,21-01-2015,shopping bags,2,5625
4240,29-04-2015,yogurt,9,8208
2357,08-07-2015,soda,13,5588
1743,18-04-2015,sliced cheese,23,5177
2331,15-02-2015,sausage,26,5073
1643,28-04-2015,yogurt,7,4878
1291,20-03-2015,domestic eggs,9,6637
3675,04-07-2015,whole milk,6,1924
4134,06-11-2015,meat,7,2595
1363,21-06-2015,dish cleaner,1,2588
4212,01-05-2015,other vegetables,26,4533
1500,21-03-2015,whole milk,23,4919
2622,01-10-2015,other vegetables,17,5943
3543,18-03-2015,tropical fruit,22,7525
2525,24-05-2015,baking powder,8,6123
1264,12-10-2015,specialty bar,8,9048
3601,06-07-2015,ice cream,30,7268
1771,23-03-2015,frankfurter,27,7120
4694,06-02-2015,canned beer,26,9390
1122,21-12-2015,bottled water,11,6849
3507,12-08-2015,other vegetables,14,9050
4524,26-04-2015,citrus fruit,5,9519
3612,27-09-2015,sausage,12,3932
3262,11-06-2015,domestic eggs,7,8889
1897,25-01-2015,pork,22,5348
1656,30-10-2015,specialty cheese,3,3182
3953,10-01-2015,pork,1,1872
1488,21-06-2015,beef,8,9566
1652,17-03-2015,other vegetables,25,2585
4953,16-09-2015,chicken,18,1572
3445,30-04-2015,soda,16,3691
3180,15-03-2015,whole milk,21,6624
4934,06-09-2015,rolls/buns,16,9466
2980,27-04-2015,bottled beer,1,9132
2763,13-02-2015,root vegetables,28,4431
4819,04-03-2015,pastry,22,6479
3169,02-07-2015,berries,15,8323
1850,11-03-2015,citrus fruit,15,3875
4285,29-12-2015,whole milk,12,1686
4366,13-08-2015,soda,24,6437
2253,16-06-2015,bottled water,11,2038
3398,11-03-2015,tropical fruit,3,3310
2215,22-07-2015,salty snack,16,4652
3737,03-03-2015,bottled water,28,9400
2649,28-11-2015,chocolate,11,5703
3203,07-08-2015,citrus fruit,10,6666
4261,16-02-2015,bottled water,3,8400
2435,17-07-2015,onions,24,9745
2046,21-08-2015,dessert,11,8986
4267,11-02-2015,beef,7,5481
1086,28-12-2015,rolls/buns,18,1783
1992,04-01-2015,beef,7,7247
3622,26-07-2015,soda,30,6126
4700,27-06-2015,coffee,3,9013
2272,16-05-2015,rolls/buns,29,6711
1663,19-05-2015,pork,25,8676
2519,03-06-2015,soda,13,5622
2639,30-10-2015,sausage,14,7646
1466,19-04-2015,beef,9,2628
4122,23-10-2015,whole milk,20,4021
3598,15-04-2015,pork,4,9574
3097,10-08-2015,berries,6,5072
1873,19-09-2015,sausage,26,2324
1537,01-02-2015,bottled water,7,5230
3960,25-03-2015,tropical fruit,1,4203
1136,15-06-2015,herbs,18,8354
2453,21-12-2015,yogurt,22,8676
1746,15-02-2015,Instant food products,25,1804
3572,09-06-2015,specialty chocolate,2,2847
3246,24-06-2015,coffee,4,7257
3207,26-11-2015,bottled beer,6,9603
1042,12-02-2015,beef,6,3709
1176,30-03-2015,whole milk,9,3209
3054,23-02-2015,frankfurter,15,7233
4486,02-12-2015,frankfurter,5,4461
1580,05-12-2015,other vegetables,25,9159
1623,02-11-2015,frankfurter,7,7822
4169,24-11-2015,whole milk,7,2346
2254,24-01-2015,frankfurter,26,5108
4095,01-11-2015,other vegetables,7,2594
1264,17-11-2015,bottled water,27,7575
3375,06-01-2015,pork,19,5602
3242,23-05-2015,bottled water,4,1779
2227,07-06-2015,other vegetables,16,4451
3847,03-12-2015,hamburger meat,24,3237
3897,31-05-2015,hamburger meat,18,2209
1799,27-09-2015,shopping bags,9,2299
2920,26-04-2015,whole milk,17,5717
3713,31-01-2015,ice cream,21,8206
4230,05-11-2015,pastry,9,1624
1455,18-03-2015,ham,23,9491
3687,18-03-2015,frankfurter,20,6721
3869,01-08-2015,sausage,29,4688
2988,14-10-2015,bottled beer,13,4429
4242,30-03-2015,bottled water,9,3411
4118,24-12-2015,meat,28,6647
4996,24-10-2015,dessert,18,6754
4489,04-03-2015,other vegetables,7,4626
1199,09-11-2015,beverages,1,4791
4108,12-05-2015,ham,23,9366
3484,05-06-2015,specialty bar,28,3066
1239,31-08-2015,brown bread,27,3239
4839,19-12-2015,whole milk,30,3239
4748,07-05-2015,rolls/buns,26,4391
4426,06-06-2015,bottled beer,11,3715
3571,11-12-2015,pet care,9,1801
2852,08-06-2015,citrus fruit,12,9436
3638,26-05-2015,pork,8,1521
3635,10-03-2015,other vegetables,3,7884
2723,07-05-2015,white wine,3,6329
3495,11-03-2015,whole milk,11,9092
2813,16-11-2015,pip fruit,23,8585
2799,02-09-2015,sugar,20,6093
4723,22-05-2015,tropical fruit,11,8148
3313,08-04-2015,root vegetables,19,2549
4748,15-12-2015,soda,13,6644
2991,16-02-2015,whole milk,4,1975
1483,01-04-2015,tropical fruit,15,6667
3950,01-10-2015,white bread,2,9375
1634,16-01-2015,brown bread,4,3000
2694,21-11-2015,tropical fruit,26,2444
2707,18-10-2015,domestic eggs,22,9624
2813,16-07-2015,coffee,20,7245
2276,11-01-2015,soda,3,1941
4726,06-02-2015,whole milk,8,7256
4353,25-05-2015,bottled beer,14,5143
4017,13-08-2015,pork,21,3858
1422,21-08-2015,other vegetables,3,8333
2714,15-03-2015,yogurt,22,8275
2769,21-07-2015,sparkling wine,24,2631
4166,30-04-2015,bottled water,30,1945
3614,02-03-2015,citrus fruit,16,9395
4361,05-09-2015,hamburger meat,22,4280
,22-09-2015,packaged fruit/vegetables,8,3436
,06-09-2015,other vegetables,13,6785
,08-08-2015,soda,20,4815
,10-08-2015,whole milk,15,6379
,11-06-2015,herbs,13,3540
,29-08-2015,citrus fruit,8,6377
1074,24-06-2015,misc. beverages,27,5272
2256,11-04-2015,female sanitary products,24,3033
1348,17-09-2015,soda,21,7667
3806,28-08-2015,tropical fruit,30,4164
1711,06-06-2015,soda,22,4376
3959,12-04-2015,white bread,4,8330
1590,15-08-2015,coffee,19,6118
1962,08-06-2015,tropical fruit,29,5875
1766,21-01-2015,pork,24,2637
2551,21-10-2015,citrus fruit,21,3462
2294,23-09-2015,frankfurter,16,8975
4531,29-05-2015,frankfurter,4,1648
2957,12-04-2015,frankfurter,14,3158
4415,27-01-2015,other vegetables,7,6459
1476,26-08-2015,yogurt,16,2843
3978,23-07-2015,sausage,23,8736
2062,22-09-2015,whole milk,6,8987
3252,28-06-2015,pip fruit,25,2892
3922,24-06-2015,whole milk,6,2839
1491,17-10-2015,root vegetables,29,4069
3526,26-08-2015,onions,24,6338
4060,11-12-2015,specialty chocolate,24,4292
1067,08-04-2015,hamburger meat,2,9699
2840,27-01-2015,photo/film,13,6480
4484,27-11-2015,rolls/buns,29,5270
2353,07-02-2015,canned beer,21,5622
3130,18-02-2015,canned beer,15,9035
4273,14-06-2015,other vegetables,10,7813
4565,30-12-2015,canned beer,7,4826
2504,14-08-2015,curd,2,9521
4127,23-10-2015,butter,26,2182
2690,01-04-2015,other vegetables,4,8534
4129,22-09-2015,whole milk,1,9698
4511,29-06-2015,beef,13,9087
1602,04-08-2015,sausage,3,5281
4369,01-02-2015,soda,27,4329
1302,29-09-2015,fruit/vegetable juice,17,6548
3326,30-04-2015,rolls/buns,16,3235
2066,21-05-2015,pip fruit,18,3886
3483,15-01-2015,frozen vegetables,24,1933
2840,12-02-2015,beverages,16,2821
1807,18-05-2015,hamburger meat,5,2612
2067,12-08-2015,root vegetables,8,4240
3783,17-02-2015,canned beer,27,3724
2884,04-01-2015,frozen vegetables,12,6118
2908,15-03-2015,canned beer,10,3243
1330,10-07-2015,newspapers,27,1614
2293,08-05-2015,rolls/buns,11,3309
3718,20-05-2015,hamburger meat,18,2541
4338,25-01-2015,pip fruit,13,8418
3486,08-11-2015,canned beer,4,4164
3635,04-09-2015,grapes,23,4474
2857,18-02-2015,root vegetables,12,8361
3684,13-08-2015,citrus fruit,24,9947
3120,20-10-2015,cling film/bags,18,9153
3872,19-03-2015,frankfurter,19,7011
2777,07-04-2015,whole milk,24,1784
2702,27-05-2015,pork,2,9636
4796,29-06-2015,chicken,12,4594
1564,23-10-2015,sausage,27,7458
2740,02-07-2015,specialty bar,2,2250
1833,13-04-2015,whipped/sour cream,2,7860
1757,23-12-2015,root vegetables,8,8922
2975,24-10-2015,rolls/buns,30,9367
4032,10-08-2015,other vegetables,2,2251
3979,16-09-2015,citrus fruit,1,3258
3772,09-03-2015,whole milk,27,8672
4523,28-10-2015,frankfurter,8,4605
4004,19-04-2015,coffee,28,4964
2936,08-06-2015,ham,27,2484
2394,21-06-2015,canned beer,17,4350
4616,16-08-2015,canned beer,13,2208
2362,08-07-2015,canned beer,2,5736
3593,03-11-2015,pip fruit,9,1524
4389,27-08-2015,pork,3,3704
3206,11-08-2015,soap,1,2098
4601,04-01-2015,pip fruit,20,8876
4382,13-11-2015,beef,22,6377
2718,08-06-2015,sausage,14,9964
4691,12-10-2015,frozen chicken,24,9383
3735,28-11-2015,soda,27,5151
3900,20-12-2015,tropical fruit,3,2908
4959,30-06-2015,other vegetables,7,7300
1815,30-08-2015,beef,19,4174
2454,08-04-2015,meat,7,6431
4778,15-01-2015,meat,10,9371
2289,04-11-2015,bottled water,13,3788
1734,13-07-2015,rolls/buns,22,4148
4019,05-02-2015,pastry,29,2525
4605,28-05-2015,pork,15,6977
4864,14-11-2015,pip fruit,29,4968
4205,22-02-2015,,24,4727
1862,03-08-2015,,16,6482
1846,19-07-2015,,3,4048
2019,28-05-2015,,16,4792
2042,19-11-2015,,28,6425
1768,26-05-2015,,26,6846
3847,26-03-2015,,14,5023
3557,20-07-2015,,30,6742
3975,27-02-2015,hamburger meat,3,1991
4198,18-03-2015,beef,6,8772
2580,04-09-2015,beef,25,3665
3474,25-08-2015,root vegetables,19,6720
1678,14-11-2015,citrus fruit,9,6529
4254,14-08-2015,yogurt,10,9269
4704,21-08-2015,tropical fruit,7,7991
3343,10-05-2015,frankfurter,30,1973
3812,24-06-2015,beef,14,2766
3093,13-03-2015,shopping bags,10,7401
2170,18-06-2015,canned beer,26,8869
4867,29-10-2015,rolls/buns,27,3305
3899,23-03-2015,other vegetables,23,1638
2941,03-10-2015,hamburger meat,9,3325
1958,03-07-2015,hamburger meat,20,5359
2760,08-08-2015,frankfurter,7,1611
4413,03-08-2015,bottled beer,30,1711
1737,15-05-2015,tropical fruit,28,2718
4202,18-02-2015,soda,21,9182
1065,13-11-2015,frankfurter,10,1960
3819,28-06-2015,chicken,25,8357
2854,08-02-2015,coffee,30,9389
4387,16-09-2015,whole milk,2,5738
4530,12-04-2015,margarine,20,2358
4191,03-11-2015,tropical fruit,1,8419
3102,04-12-2015,meat,13,3196
1946,25-01-2015,cream cheese,4,5320
2156,15-05-2015,newspapers,25,1666
1444,16-12-2015,rolls/buns,25,1852
1699,14-05-2015,citrus fruit,27,5269
4954,04-05-2015,whole milk,24,6098
2207,08-04-2015,frankfurter,12,6758
4826,28-01-2015,ham,3,1548
2374,08-06-2015,frankfurter,9,9518
1604,18-08-2015,sausage,11,6583
4437,29-11-2015,domestic eggs,11,6427
2319,10-05-2015,whole milk,8,6232
3018,27-06-2015,rolls/buns,29,6979
1195,28-09-2015,whole milk,24,2142
1768,04-09-2015,sausage,29,5886
3017,28-09-2015,curd,19,5970
3384,29-11-2015,bottled water,3,9161
1918,30-01-2015,beef,5,2127
2524,17-10-2015,frankfurter,9,3255
2798,17-06-2015,chicken,17,1844
2096,25-01-2015,sausage,11,1766
1489,13-03-2015,pork,20,9986
1431,20-07-2015,yogurt,6,3412
2747,05-07-2015,whole milk,30,6467
3054,22-03-2015,frankfurter,18,3459
2691,09-10-2015,beef,17,9112
1752,19-04-2015,pip fruit,7,5809
3027,15-09-2015,sausage,30,5919
4452,17-06-2015,pastry,24,7209
4129,13-08-2015,chicken,14,3401
3523,09-11-2015,root vegetables,16,8984
2128,11-02-2015,whole milk,15,8683
4867,03-02-2015,detergent,13,6190
4762,30-10-2015,rolls/buns,6,5278
1632,29-05-2015,house keeping products,25,3388
4018,17-11-2015,yogurt,10,5024
1722,13-07-2015,tropical fruit,26,5227
1438,19-10-2015,tropical fruit,14,4550
3958,27-10-2015,curd,11,7429
3292,13-09-2015,beef,21,7609
2861,23-02-2015,whole milk,12,5897
1757,24-02-2015,,26,6205
1509,30-12-2015,,28,5657
2364,11-05-2015,,22,6453
